i,game,blueprintId,text,options,generator_v3,pairScore,lowPair,slotsCount,wordCount,repeatRatio,short,long,abEqual,hasPlaceholders
0,ROAST_CONSENSUS,"roast_consensus_blueprint_1","Most likely to leave the groupchat dramatically because their main love language is screenshots.","PlayerVote(players=[Jay, Pip, Mo])",true,0.55,false,2,14,0.07,false,false,false,false
1,ROAST_CONSENSUS,"roast_consensus_blueprint_1","Most likely to screenshot your story and send it back because they measure friendship in shared memes.","PlayerVote(players=[Jay, Pip, Mo])",true,0.55,false,2,17,0.06,false,false,false,false
2,ROAST_CONSENSUS,"roast_consensus_blueprint_1","Most likely to change WiFi password without warning because they know everyone's zodiac sign by heart.","PlayerVote(players=[Jay, Pip, Mo])",true,0.55,false,2,16,0.06,false,false,false,false
3,ROAST_CONSENSUS,"roast_consensus_blueprint_1","Most likely to leave someone on read for dramatic effect because their camera roll is 90% memes and receipts.","PlayerVote(players=[Jay, Pip, Mo])",true,0.55,false,2,19,0.05,false,false,false,false
4,ROAST_CONSENSUS,"roast_consensus_blueprint_1","Most likely to post a cryptic Instagram story because their camera roll is 90% memes and receipts.","PlayerVote(players=[Jay, Pip, Mo])",true,0.55,false,2,17,0.06,false,false,false,false
5,ROAST_CONSENSUS,"roast_consensus_blueprint_1","Most likely to leave someone on read for dramatic effect because they measure friendship in shared memes.","PlayerVote(players=[Jay, Pip, Mo])",true,0.55,false,2,17,0.06,false,false,false,false
6,ROAST_CONSENSUS,"roast_consensus_blueprint_1","Most likely to leave someone on read for dramatic effect because their bio is a cry for help disguised as a joke.","PlayerVote(players=[Jay, Pip, Mo])",true,0.55,false,2,22,0.09,false,false,false,false
7,ROAST_CONSENSUS,"roast_consensus_blueprint_1","Most likely to start drama in the group chat because they treat every minor inconvenience like content.","PlayerVote(players=[Jay, Pip, Mo])",true,0.55,false,2,17,0.06,false,false,false,false
8,ROAST_CONSENSUS,"roast_consensus_blueprint_1","Most likely to change WiFi password without warning because their Spotify history tells the whole story.","PlayerVote(players=[Jay, Pip, Mo])",true,0.55,false,2,16,0.06,false,false,false,false
9,ROAST_CONSENSUS,"roast_consensus_blueprint_1","Most likely to reply-all to a mass email because they treat brunch RSVPs like fan fiction.","PlayerVote(players=[Jay, Pip, Mo])",true,0.55,false,2,16,0.13,false,false,false,false
