i,game,blueprintId,text,options,generator_v3,pairScore,lowPair,slotsCount,wordCount,repeatRatio,short,long,abEqual,hasPlaceholders
0,ODD_ONE_OUT,"odd_one_blueprint_3","Pick the odd one out and explain why: this is fine dog, distracted boyfriend, girl explaining to guy.","PlayerVote(players=[Jay, Pip, Mo])",true,0.0,false,3,18,0.06,false,false,false,false
1,ODD_ONE_OUT,"odd_one_blueprint_3","Pick the odd one out and explain why: distracted boyfriend, woman yelling at cat, brain size increases.","PlayerVote(players=[Jay, Pip, Mo])",true,0.0,false,3,17,0.06,false,false,false,false
2,ODD_ONE_OUT,"odd_one_blueprint_1","Which is the odd one: wojak crying, Spider-Man pointing, Roll Safe thinking?","PlayerVote(players=[Jay, Pip, Mo])",true,0.0,false,3,12,0.08,false,false,false,false
3,ODD_ONE_OUT,"odd_one_blueprint_1","Which is the odd one: distracted boyfriend, running away balloon, Spider-Man pointing?","PlayerVote(players=[Jay, Pip, Mo])",true,0.0,false,3,12,0.08,false,false,false,false
4,ODD_ONE_OUT,"odd_one_blueprint_4","Which perk doesn't belong with the others: perfect eyebrows always, never sunburned skin, a private meme archivist.","PlayerVote(players=[Jay, Pip, Mo])",true,0.0,false,3,17,0.06,false,false,false,false
5,ODD_ONE_OUT,"odd_one_blueprint_3","Pick the odd one out and explain why: expanding brain, woman yelling at cat, galaxy brain.","PlayerVote(players=[Jay, Pip, Mo])",true,0.0,false,3,16,0.06,false,false,false,false
6,ODD_ONE_OUT,"odd_one_blueprint_3","Pick the odd one out and explain why: brain size increases, galaxy brain, this is fine dog.","PlayerVote(players=[Jay, Pip, Mo])",true,0.0,false,3,17,0.06,false,false,false,false
7,ODD_ONE_OUT,"odd_one_blueprint_4","Which perk doesn't belong with the others: a fresh laundry smell that never fades, perfect playlist curation, instant outfit coordination.","PlayerVote(players=[Jay, Pip, Mo])",true,0.0,false,3,20,0.05,false,false,false,false
8,ODD_ONE_OUT,"odd_one_blueprint_5","Spot the red flag that doesn't fit: they ghost then reappear with 'hey stranger', they humble-brag disguised as complaints, they name-drop constantly.","PlayerVote(players=[Jay, Pip, Mo])",true,0.0,false,3,22,0.14,false,false,false,false
9,ODD_ONE_OUT,"odd_one_blueprint_3","Pick the odd one out and explain why: this is fine dog, distracted boyfriend, expanding brain.","PlayerVote(players=[Jay, Pip, Mo])",true,0.0,false,3,16,0.06,false,false,false,false
